Assamese_Source,Ground_Truth_Kannada,Model_Prediction_Kannada
ৰাতি আকাশত তৰা ওলায়।,ರಾತ್ರಿ ಆಕಾಶದಲ್ಲಿ ನಕ್ಷತ್ರಗಳು ಕಾಣಿಸುತ್ತವೆ.,ರಾತ್ರಿಯ ಆಕಾಶದಲ್ಲಿ ನಕ್ಷತ್ರಗಳು ಬೀಳುತ್ತವೆ.
মই পানী খাম।,ನಾನು ನೀರು ಕುಡಿಯುತ್ತೇನೆ.,ನಾನು ನೀರನ್ನು ಕುಡಿಯುತ್ತಿದ್ದೇನೆ.
তাই ধুনীয়া ছবি আকিছে।,ಅವಳು ಸುಂದರವಾದ ಚಿತ್ರ ಬಿಡಿಸುತ್ತಿದ್ದಾಳೆ.,ಆದುದರಿಂದ ಒಂದು ಸುಂದರ ಚಿತ್ರ ಸಿಕ್ಕಿತು.
আমি ৰাতিপুৱা সোনকালে উঠোঁ।,ನಾವು ಬೆಳಿಗ್ಗೆ ಬೇಗ ಏಳುತ್ತೇವೆ.,ನಾವು ಬೆಳಿಗ್ಗೆ ಎದ್ದೇಳುತ್ತೇವೆ.
কুকুৰটোৱে বাটত ভুকি আছে।,ನಾಯಿ ರಸ್ತೆಯಲ್ಲಿ ಬೊಗಳುತ್ತಿದೆ.,ಒಂದು ನಾಯಿ ದಾರಿತಪ್ಪಿದೆ.
তেওঁলোকে গান গাই আছে।,ಅವರು ಹಾಡು ಹೇಳುತ್ತಿದ್ದಾರೆ.,ಅವರು ಹಾಡುತ್ತಿದ್ದಾರೆ.
মই বাতৰিকাকত পঢ়ি আছোঁ।,ನಾನು ದಿನಪತ್ರಿಕೆ ಓದುತ್ತಿದ್ದೇನೆ.,ನಾನು ಪತ್ರಿಕೆಯಲ್ಲಿ ಓದುತ್ತಿದ್ದೇನೆ.
খেতিয়কজনে পথাৰত কাম কৰি আছে।,ರೈತ ಹೊಲದಲ್ಲಿ ಕೆಲಸ ಮಾಡುತ್ತಿದ್ದಾನೆ.,ರೈತರು ಹೊಲದಲ್ಲಿ ಕೆಲಸ ಮಾಡುತ್ತಿದ್ದಾರೆ.
ফুলবোৰ ফুলিছে।,ಹೂವುಗಳು ಅರಳುತ್ತಿವೆ.,ಹೂವುಗಳು ಹೊಳೆಯುತ್ತಿವೆ.
ৰামে চাইকেল চলাই আছে।,ರಾಮ ಸೈಕಲ್ ಓಡಿಸುತ್ತಿದ್ದಾನೆ.,ರಾಮನಿಗೆ ಸೈಕಲ್ ಓಡಿಸಬೇಕು.
কিতাপখন টেবুলৰ ওপৰত আছে।,ಪುಸ್ತಕವು ಟೇಬಲ್ ಮೇಲಿದೆ.,ಪುಸ್ತಕವು ಮೇಜಿನ ಮೇಲೆ ಇದೆ.
ৰামে ভায়েকক এটা কলম দিলে।,ರಾಮನು ತನ್ನ ಸಹೋದರನಿಗೆ ಒಂದು ಪೆನ್ನನ್ನು ಕೊಟ್ಟನು.,ರಾಮನು ತನ್ನ ಸಹೋದರನಿಗೆ ಒಂದು ಪೆನ್ ಕೊಟ್ಟನು.
এইটো মোৰ বন্ধুৰ ঘৰ।,ಇದು ನನ್ನ ಸ್ನೇಹಿತನ ಮನೆ.,ಇದು ನನ್ನ ಸ್ನೇಹಿತನ ಮನೆ.
গছৰ পৰা পাত সৰিছে।,ಮರದಿಂದ ಎಲೆಗಳು ಉದುರುತ್ತಿವೆ.,ಮರದಿಂದ ಎಲೆಗಳು ಹರಿದುಹೋಗಿವೆ.
মেকুৰীটো বিছনাৰ তলত আছে।,ಬೆಕ್ಕು ಹಾಸಿಗೆಯ ಕೆಳಗಿದೆ.,ಮೆಕ್ಯುರಿಟೊ ಹಾಸಿಗೆಯ ಕೆಳಗಿದೆ.
মই গুৱাহাটীৰ পৰা আহিছোঁ।,ನಾನು ಗುವಾಹಟಿಯಿಂದ ಬಂದಿದ್ದೇನೆ.,ನಾನು ಗುವಾಹಟಿಯಿಂದ ಬಂದವನು.
সি হাতৰে ভাত খায়।,ಅವನು ಕೈಯಿಂದ ಊಟ ಮಾಡುತ್ತಾನೆ.,ಸಿ ತನ್ನ ಕೈಗಳಿಂದ ಅಕ್ಕಿಯನ್ನು ತಿನ್ನುತ್ತಾನೆ.
ৰিতাই তাইৰ মাকক সহায় কৰিছে।,ರೀತಾ ತನ್ನ ತಾಯಿಗೆ ಸಹಾಯ ಮಾಡುತ್ತಿದ್ದಾಳೆ.,ರಿಯಾ ತನ್ನ ತಾಯಿಗೆ ಸಹಾಯ ಮಾಡುತ್ತಾಳೆ.
বাঘটো হাবিত থাকে।,ಹುಲಿ ಕಾಡಿನಲ್ಲಿ ವಾಸಿಸುತ್ತದೆ.,ಹುಲಿ ಹವ್ಯಾಸ.
কলমটো মোৰ বেগৰ ভিতৰত আছে।,ಪೆನ್ನು ನನ್ನ ಬ್ಯಾಗ್ ಒಳಗಿದೆ.,ಈ ಪೇನ್ ನನ್ನ ಬಾಗಿಲಲ್ಲಿದೆ.
মই তেজপুৰত বাস কৰোঁ।,ನಾನು ತೇಜಪುರದಲ್ಲಿ ವಾಸಿಸುತ್ತೇನೆ.,ನಾನು ತೇಜಪುರದಲ್ಲಿ ವಾಸಿಸುತ್ತಿದ್ದೇನೆ.
সি বাছেৰে স্কুললৈ যায়।,ಅವನು ಬಸ್ಸಿನಲ್ಲಿ ಶಾಲೆಗೆ ಹೋಗುತ್ತಾನೆ.,ಸಿ ಬಸ್ಸಿನಲ್ಲಿ ಶಾಲೆಗೆ ಹೋಗುತ್ತಾನೆ.
পানীৰ বটলটো ফ্রিজত থোৱা।,ನೀರಿನ ಬಾಟಲಿಯನ್ನು ಫ್ರಿಡ್ಜ್‌ನಲ್ಲಿ ಇಡು.,ನೀರಿನ ಬಾಟಲಿಯನ್ನು ಫ್ರಿಜ್ ನಲ್ಲಿ ಇರಿಸಿ.
তাইৰ চুলি বহুত দীঘল।,ಅವಳ ಕೂದಲು ತುಂಬಾ ಉದ್ದವಾಗಿದೆ.,ಅವಳ ಕೂದಲು ತುಂಬಾ ಉದ್ದವಾಗಿದೆ.
মই দোকানৰ পৰা চাউল কিনিছোঁ।,ನಾನು ಅಂಗಡಿಯಿಂದ ಅಕ್ಕಿ ಖರೀದಿಸಿದ್ದೇನೆ.,ನಾನು ಅಂಗಡಿಯಿಂದ ಅಕ್ಕಿ ಖರೀದಿಸಿದೆ.
ৰাজুৰ দেউতাক এজন ডাক্তৰ।,ರಾಜುವಿನ ತಂದೆ ಒಬ್ಬ ವೈದ್ಯ.,ರಾಜನ ದೇವತೆ ಒಬ್ಬ ವೈದ್ಯನಾಗಿದ್ದಾನೆ.
চৰাইটো গছৰ ডালত বহি আছে।,ಹಕ್ಕಿ ಮರದ ಕೊಂಬೆಯ ಮೇಲೆ ಕುಳಿತಿದೆ.,ಸಾರೈಟೊ ಒಂದು ಮರದ ಅಂಚಿನಲ್ಲಿ ಕುಳಿತಿದ್ದಾನೆ.
মই মোৰ ভনীয়েকৰ সৈতে খেলিছোঁ।,ನಾನು ನನ್ನ ತಂಗಿಯ ಜೊತೆ ಆಡುತ್ತಿದ್ದೇನೆ.,ನಾನು ನನ್ನ ಅಣ್ಣನ ಜೊತೆ ಆಟವಾಡುತ್ತಿದ್ದೇನೆ.
তেওঁৰ হাতত এটা বেগ আছে।,ಅವರ ಕೈಯಲ್ಲಿ ಒಂದು ಬ್ಯಾಗ್ ಇದೆ.,ಅವನ ಕೈಯಲ್ಲಿ ಒಂದು ಚೀಲವಿದೆ.
ঘৰৰ সন্মুখত এখন বাগিচা আছে।,ಮನೆಯ ಮುಂದೆ ಒಂದು ಉದ್ಯಾನವನವಿದೆ.,ಮನೆಯ ಮುಂಭಾಗದಲ್ಲಿ ಒಂದು ಉದ್ಯಾನವಿದೆ.
"ছাৰ, আপুনি ভিতৰলৈ আহিব পাৰে।","ಸರ್, ನೀವು ಒಳಗೆ ಬರಬಹುದು.","ಸಾರ್, ನೀವು ಒಳಗೆ ಬರಬಹುದು."
তুমি তোমাৰ কাম শেষ কৰিলানে?,ನೀನು ನಿನ್ನ ಕೆಲಸವನ್ನು ಮುಗಿಸಿದೆಯಾ?,ನೀವು ನಿಮ್ಮ ಕೆಲಸವನ್ನು ಮುಗಿಸಿರುವಿರಾ?
তেওঁ এজন বৰ ভাল শিক্ষক।,ಅವರು ತುಂಬಾ ಒಳ್ಳೆಯ ಶಿಕ್ಷಕರು.,ಅವರು ಉತ್ತಮ ಶಿಕ್ಷಕರಾಗಿದ್ದಾರೆ.
তই তালৈ নাযাবি।,ನೀನು ಅಲ್ಲಿಗೆ ಹೋಗಬೇಡ.,ನೀನು ಅಲ್ಲಿಗೆ ಹೋಗಬೇಡ.
আপোনাৰ নাম কি?,ನಿಮ್ಮ ಹೆಸರೇನು?,ನಿಮ್ಮ ಹೆಸರೇನು?
তোমাৰ ঘৰ ক'ত?,ನಿನ್ನ ಮನೆ ಎಲ್ಲಿದೆ?,ನಿಮ್ಮ ಮನೆ ಎಲ್ಲಿದೆ?
তেওঁ আমাৰ ঘৰলৈ আহিব।,ಅವರು ನಮ್ಮ ಮನೆಗೆ ಬರುತ್ತಾರೆ.,ಅವರು ನಮ್ಮ ಮನೆಗೆ ಬರುತ್ತಾರೆ.
তাইক এটা কলম দিয়া।,ಅವಳಿಗೆ ಒಂದು ಪೆನ್ನು ಕೊಡು.,ಅದಕ್ಕೆ ಒಂದು ಪೆನ್ ಕೊಡಿ.
আপুনি চাহ খাব নেকি?,ನೀವು ಚಹಾ ಕುಡಿಯುತ್ತೀರಾ?,ನೀವು ಚಹಾ ಕುಡಿಯುತ್ತೀರಾ?
মই আপোনাক সহায় কৰিব পাৰোঁনে?,ನಾನು ನಿಮಗೆ ಸಹಾಯ ಮಾಡಬಹುದೇ?,ನಾನು ನಿಮಗೆ ಸಹಾಯ ಮಾಡಬಹುದೇ?
তেওঁলোকে আমাক মাতিছে।,ಅವರು ನಮ್ಮನ್ನು ಕರೆದಿದ್ದಾರೆ.,ಅವರು ನಮ್ಮನ್ನು ಕರೆದಿದ್ದಾರೆ.
তুমি কি খাইছা?,ನೀನು ಏನು ತಿನ್ನುತ್ತಿದ್ದೀಯಾ?,ನೀವು ಏನು ತಿನ್ನುತ್ತೀರಿ?
আপোনালোক ইয়াত বহক।,ನೀವು ಇಲ್ಲಿ ಕುಳಿತುಕೊಳ್ಳಿ.,ನೀವು ಇಲ್ಲಿ ಕುಳಿತುಕೊಳ್ಳಿ.
তেওঁৰ বয়স কিমান?,ಅವರ ವಯಸ್ಸು ಎಷ್ಟು?,ಅವರ ವಯಸ್ಸು ಎಷ್ಟು?
মই তোমাক চিনি পাওঁ।,ನಾನು ನಿನ್ನನ್ನು ಗುರುತಿಸುತ್ತೇನೆ.,ನಾನು ನಿಮ್ಮನ್ನು ಬಲ್ಲೆ.
আপুনি কেনে আছে?,ನೀವು ಹೇಗಿದ್ದೀರಿ?,ನೀವು ಹೇಗೆ ಇದ್ದೀರಿ?
তাই মোৰ সৰু ভনীয়েক।,ಅವಳು ನನ್ನ ಕಿರಿಯ ಸಹೋದರಿ.,ಅವಳು ನನ್ನ ಚಿಕ್ಕ ಸಹೋದರಿ.
তেওঁ বহুত জ্ঞানী মানুহ।,ಅವರು ತುಂಬಾ ಜ್ಞಾನಿ ಮನುಷ್ಯ.,ಅವರು ಬಹಳ ಬುದ್ಧಿವಂತ ವ್ಯಕ್ತಿ.
তোমালোক এতিয়া যোৱা।,ನೀವು ಈಗ ಹೋಗಿ.,ನೀವು ಈಗ ಹೋಗಿರಿ.
আপোনাৰ দিনটো শুভ হওক।,ನಿಮ್ಮ ದಿನ ಶುಭವಾಗಿರಲಿ.,ನಿಮ್ಮ ದಿನ ಶುಭವಾಗಲಿ.
তুমি অহালৈ মই অপেক্ষা কৰি থাকিম।,ನೀನು ಬರುವವರೆಗೆ ನಾನು ಕಾಯುತ್ತಿರುತ್ತೇನೆ.,ನಾನು ನಿಮಗಾಗಿ ಕಾಯುತ್ತಿದ್ದೇನೆ.
"যদি বৰষুণ দিয়ে, তেন্তে মই নাযাওঁ।","ಮಳೆ ಬಂದರೆ, ನಾನು ಹೋಗುವುದಿಲ್ಲ.",ಮಳೆ ಬಂದರೆ ನಾನು ಹೋಗುವುದಿಲ್ಲ.
ডাক্তৰ অহাৰ আগতেই ৰোগীজনৰ মৃত্যু হৈছিল।,ವೈದ್ಯರು ಬರುವ ಮುನ್ನವೇ ರೋಗಿಯು ತೀರಿಕೊಂಡಿದ್ದನು.,ವೈದ್ಯರ ಊಟಕ್ಕೆ ಮುಂಚೆಯೇ ರೋಗಿಯು ಮೃತಪಟ್ಟಿದ್ದಾಳೆ.
মই ভাবিছিলোঁ যে তাই কালিয়ে গুচি গ'ল।,ಅವಳು ನಿನ್ನೆಯೇ ಹೊರಟುಹೋದಳು ಎಂದು ನಾನು ಭಾವಿಸಿದ್ದೆ.,ಅದು ಕಪ್ಪು ಎಂದು ನಾನು ಭಾವಿಸಿದ್ದೆ.
আমি ষ্টেচন পোৱাৰ লগে লগে ৰেলখন এৰিলে।,ನಾವು ನಿಲ್ದಾಣ ತಲುಪಿದ ತಕ್ಷಣ ರೈಲು ಹೊರಟಿತು.,ನಾವು ನಿಲ್ದಾಣವನ್ನು ತಲುಪಿದ ಕೂಡಲೇ ರೈಲು ಹೊರಟಿತು.
সি কোৱা মতে মই কামটো কৰিলোঁ।,ಅವನು ಹೇಳಿದಂತೆ ನಾನು ಕೆಲಸ ಮಾಡಿದೆ.,ಸಿ ಹೇಳಿದಂತೆ ನಾನು ಅದನ್ನು ಮಾಡಿದ್ದೇನೆ.
যোৱা বছৰ মই দিল্লীলৈ গৈছিলোঁ।,ಕಳೆದ ವರ್ಷ ನಾನು ದೆಹಲಿಗೆ ಹೋಗಿದ್ದೆ.,ಕಳೆದ ವರ್ಷ ನಾನು ದೆಹಲಿಗೆ ಹೋಗಿದ್ದೆ.
অহা মাহত আমাৰ পৰীক্ষা আৰম্ভ হ'ব।,ಮುಂದಿನ ತಿಂಗಳು ನಮ್ಮ ಪರೀಕ್ಷೆ ಪ್ರಾರಂಭವಾಗಲಿದೆ.,ಮುಂದಿನ ತಿಂಗಳು ನಮ್ಮ ಪರೀಕ್ಷೆಗಳು ಆರಂಭವಾಗಲಿವೆ.
তাই আহিলে মই যাম।,ಅವಳು ಬಂದರೆ ನಾನು ಹೋಗುತ್ತೇನೆ.,ಹಾಗಾದರೆ ನಾನು ಹೋಗುತ್ತೇನೆ.
মই পঢ়ি থাকোঁতে সি শুই আছিল।,ನಾನು ಓದುತ್ತಿರುವಾಗ ಅವನು ಮಲಗಿದ್ದನು.,ನಾನು ಓದುತ್ತಿದ್ದಾಗ ನಾನು ನಿದ್ರಿಸುತ್ತಿದ್ದೆ.
তুমি ভালকৈ পঢ়িলে পাছ কৰিবা।,ನೀನು ಚೆನ್ನಾಗಿ ಓದಿದರೆ ಉತ್ತೀರ್ಣನಾಗುತ್ತೀಯಾ.,ನೀವು ಚೆನ್ನಾಗಿ ಓದಿದ ನಂತರ ಅದನ್ನು ಮುಂದುವರಿಸಿ.
সি কামটো শেষ কৰি ঘৰলৈ গ'ল।,ಅವನು ಕೆಲಸ ಮುಗಿಸಿ ಮನೆಗೆ ಹೋದನು.,ಅವನು ತನ್ನ ಕೆಲಸವನ್ನು ಮುಗಿಸಿ ಮನೆಗೆ ಹೋದನು.
মই কালি তোমাক লগ পাম।,ನಾನು ನಾಳೆ ನಿನ್ನನ್ನು ಭೇಟಿಯಾಗುತ್ತೇನೆ.,ನಾನು ನಿನ್ನೆ ನಿಮ್ಮನ್ನು ಭೇಟಿಯಾಗಲು ಬಯಸುತ್ತೇನೆ.
তাই মোক কৈছিল যে তাই নাহে।,ಅವಳು ಬರುವುದಿಲ್ಲ ಎಂದು ನನಗೆ ಹೇಳಿದ್ದಳು.,ಹಾಗಲ್ಲ ಎಂದು ಹೇಳಿದ್ದರು.
ৰাতিপুৱাৰে পৰা বৰষুণ দি আছে।,ಬೆಳಿಗ್ಗೆಯಿಂದ ಮಳೆ ಸುರಿಯುತ್ತಿದೆ.,ಬೆಳಿಗ್ಗೆಯಿಂದ ಮಳೆ ಸುರಿಯುತ್ತಿದೆ.
"যেতিয়া মই গৈছিলোঁ, সি খাই আছিল।",ನಾನು ಹೋದಾಗ ಅವನು ಊಟ ಮಾಡುತ್ತಿದ್ದನು.,"ನಾನು ಹೋದಾಗ, ನಾನು ಸಿ ತಿನ್ನುತ್ತಿದ್ದೆ."
পৰীক্ষা শেষ হোৱাৰ পিছত আমি ফুৰিবলৈ যাম।,ಪರೀಕ್ಷೆ ಮುಗಿದ ನಂತರ ನಾವು ಪ್ರವಾಸಕ್ಕೆ ಹೋಗುತ್ತೇವೆ.,ಪರೀಕ್ಷೆ ಮುಗಿದ ನಂತರ ನಾವು ಹಾರೋಣ.
তুমি নহালৈকে মই ইয়াতেই থাকিম।,ನೀನು ಬರುವವರೆಗೂ ನಾನು ಇಲ್ಲಿಯೇ ಇರುತ್ತೇನೆ.,ನೀನು ಬರುವ ತನಕ ನಾನು ಇಲ್ಲಿಯೇ ಇರುತ್ತೇನೆ.
সিহঁতে খেল খেলি আছে নেকি?,ಅವರು ಆಟವಾಡುತ್ತಿದ್ದಾರೆಯೇ?,ಅವರು ಆಟವಾಡುತ್ತಾರಾ?
মই এই কামটো কৰিব পাৰিম।,ನಾನು ಈ ಕೆಲಸವನ್ನು ಮಾಡಬಲ್ಲೆ.,ನಾನು ಇದನ್ನು ಮಾಡಬಲ್ಲೆ.
তুমি কালি কিয় স্কুললৈ যোৱা নাছিলা?,ನೀನು ನಿನ್ನೆ ಶಾಲೆಗೆ ಏಕೆ ಹೋಗಿರಲಿಲ್ಲ?,ನೀವೇಕೆ ನಿನ್ನೆ ಶಾಲೆಗೆ ಹೋಗಲಿಲ್ಲ?
মই এই বিষয়ে একো নাজানো।,ನನಗೆ ಇದರ ಬಗ್ಗೆ ಏನೂ ತಿಳಿದಿಲ್ಲ.,ನನಗೆ ಈ ಬಗ್ಗೆ ಏನೂ ಗೊತ್ತಿಲ್ಲ.
তোমালোকৰ ঘৰত কোনোবা আছেনে?,ನಿಮ್ಮ ಮನೆಯಲ್ಲಿ ಯಾರಾದರೂ ಇದ್ದಾರೆಯೇ?,ನಿಮ್ಮ ಮನೆಯಲ್ಲಿ ಯಾರಾದರೂ ಇದ್ದಾರಾ?
তাই কেতিয়াও মিছা কথা নোকোৱে।,ಅವಳು ಎಂದಿಗೂ ಸುಳ್ಳು ಹೇಳುವುದಿಲ್ಲ.,ಆದ್ದರಿಂದ ಅವರು ಎಂದಿಗೂ ಸುಳ್ಳು ಹೇಳುವುದಿಲ್ಲ.
এইটো কি?,ಇದೇನು?,ಇದು ಏನು?
আজি স্কুল বন্ধ নেকি?,ಇಂದು ಶಾಲೆ ರಜೆಯಾ?,ಇಂದು ಶಾಲೆ ಮುಚ್ಚಿದೆಯಾ?
মই ভাত নাখাওঁ।,ನಾನು ಊಟ ಮಾಡುವುದಿಲ್ಲ.,ನಾನು ಅಕ್ಕಿ ತಿನ್ನುವುದಿಲ್ಲ.
সিহঁতে কিয় কাজিয়া কৰিছে?,ಅವರು ಏಕೆ ಜಗಳವಾಡುತ್ತಿದ್ದಾರೆ?,ಅವರು ಯಾಕೆ ಕೆಲಸ ಮಾಡುತ್ತಿದ್ದಾರೆ?
দোকানখন কেতিয়া খোল খাব?,ಅಂಗಡಿ ಯಾವಾಗ ತೆರೆಯುತ್ತದೆ?,ಅಂಗಡಿ ಯಾವಾಗ ತೆರೆಯುತ್ತದೆ?
মই তোমাক পাহৰা নাই।,ನಾನು ನಿನ್ನನ್ನು ಮರೆತಿಲ್ಲ.,ನಾನು ನಿನ್ನನ್ನು ಮರೆತಿಲ್ಲ.
এই বাছখন ক'লৈ যাব?,ಈ ಬಸ್ಸು ಎಲ್ಲಿಗೆ ಹೋಗುತ್ತದೆ?,ಈ ಬಸ್ ಎಲ್ಲಿಗೆ ಹೋಗುತ್ತದೆ?
তেওঁ কেতিয়া আহিব?,ಅವರು ಯಾವಾಗ ಬರುತ್ತಾರೆ?,ಅವರು ಯಾವಾಗ ಬರುತ್ತಾರೆ?
মোৰ হাতত পইচা নাই।,ನನ್ನ ಬಳಿ ಹಣವಿಲ್ಲ.,ನನ್ನ ಬಳಿ ಹಣವಿಲ್ಲ.
তুমি মোক কিয় মাতিছিলা?,ನೀನು ನನ್ನನ್ನು ಏಕೆ ಕರೆದೆ?,ನೀವೇಕೆ ನನ್ನನ್ನು ಕರೆಯುತ್ತಿದ್ದೀರಿ?
কোনে এই গ্লাছটো ভাঙিলে?,ಈ ಲೋಟವನ್ನು ಯಾರು ಒಡೆದರು?,ಈ ಗಾಜನ್ನು ಯಾರು ಮುರಿದರು?
মই তাইক দেখা নাই।,ನಾನು ಅವಳನ್ನು ನೋಡಿಲ್ಲ.,ನಾನು ಅದನ್ನು ನೋಡಿಲ್ಲ.
সি কাইলৈ নাহে।,ಅವನು ನಾಳೆ ಬರುವುದಿಲ್ಲ.,ಸಿ ಎಂದೆಂದಿಗೂ ಇಲ್ಲ.
এই ৰাস্তাটো ক'লৈ গৈছে?,ಈ ರಸ್ತೆ ಎಲ್ಲಿಗೆ ಹೋಗುತ್ತದೆ?,ಈ ರಸ್ತೆ ಎಲ್ಲಿಗೆ ಹೋಗುತ್ತದೆ?
আপুনি কি বিচাৰিছে?,ನೀವು ಏನು ಹುಡುಕುತ್ತಿದ್ದೀರಿ?,ನೀವು ಏನು ಹುಡುಕುತ್ತಿದ್ದೀರಿ?
আজি বতৰ কেনেকুৱা?,ಇಂದು ಹವಾಮಾನ ಹೇಗಿದೆ?,ಹವಾಮಾನ ಹೇಗಿದೆ?
